customer_id,registration_date,country,age_group,customer_segment,acquisition_channel,loyalty_member,loyalty_join_date
CUS-00001,2026-04-11,Spain,35-44,High Value,Organic,True,2026-05-02
CUS-00002,2023-08-30,United Kingdom,18-24,At Risk,Paid Search,False,
CUS-00003,2024-09-22,Germany,45-54,Active,Paid Search,False,
CUS-00004,2024-08-06,Poland,45-54,New,Paid Social,False,
CUS-00005,2024-07-03,Spain,55+,High Value,Referral,True,2024-10-19
CUS-00006,2023-12-29,Poland,25-34,New,Paid Social,False,
CUS-00007,2026-06-08,Poland,25-34,High Value,Paid Search,False,
CUS-00008,2025-11-16,Germany,25-34,New,Paid Social,False,
CUS-00009,2023-12-05,United Kingdom,25-34,Active,Referral,False,
CUS-00010,2026-01-25,Poland,35-44,At Risk,Organic,False,
CUS-00011,2025-05-08,United Kingdom,35-44,New,Referral,True,2025-06-01
CUS-00012,2023-09-07,Germany,18-24,High Value,Organic,True,2024-01-30
CUS-00013,2024-06-26,Germany,45-54,High Value,Paid Social,True,2024-12-23
CUS-00014,2025-09-15,Poland,18-24,Active,Paid Search,False,
CUS-00015,2026-02-12,Spain,25-34,New,Organic,False,
CUS-00016,2023-09-02,United Kingdom,35-44,Active,Referral,True,2026-01-20
CUS-00017,2024-05-26,United Kingdom,25-34,High Value,Organic,True,2026-03-08
CUS-00018,2024-06-29,Germany,25-34,New,Paid Social,False,
CUS-00019,2025-06-19,Poland,25-34,New,Paid Search,False,
CUS-00020,2026-01-23,Poland,18-24,Active,Email,True,2026-03-18
CUS-00021,2023-08-02,Poland,55+,At Risk,Referral,False,
CUS-00022,2024-03-27,Poland,18-24,High Value,Email,True,2026-01-12
CUS-00023,2025-01-01,Poland,35-44,Active,Organic,True,2025-08-04
CUS-00024,2024-03-20,United Kingdom,25-34,At Risk,Paid Social,False,
CUS-00025,2024-06-21,Poland,25-34,Active,Organic,False,
CUS-00026,2024-12-26,Poland,18-24,Active,Paid Social,True,2025-03-15
CUS-00027,2023-12-14,Germany,25-34,New,Paid Social,False,
CUS-00028,2025-03-04,Germany,45-54,New,Organic,False,
CUS-00029,2023-12-20,Spain,35-44,Active,Paid Search,False,
CUS-00030,2025-01-30,Germany,25-34,Active,Organic,True,2025-10-24
CUS-00031,2026-02-14,Poland,35-44,At Risk,Organic,False,
CUS-00032,2024-09-05,United Kingdom,45-54,High Value,Referral,True,2026-05-24
CUS-00033,2023-09-28,Poland,18-24,New,Paid Social,False,
CUS-00034,2025-07-05,United Kingdom,25-34,Active,Email,False,
CUS-00035,2025-11-02,Poland,55+,Active,Organic,False,
CUS-00036,2024-02-01,Spain,55+,New,Referral,False,
CUS-00037,2025-03-02,Germany,25-34,At Risk,Referral,False,
CUS-00038,2023-11-22,Poland,45-54,High Value,Organic,True,2026-03-28
CUS-00039,2024-10-20,Poland,45-54,At Risk,Organic,True,2026-02-20
CUS-00040,2026-03-09,Spain,25-34,New,Paid Search,False,
CUS-00041,2025-02-03,Germany,18-24,High Value,Organic,False,
CUS-00042,2026-01-04,United Kingdom,18-24,New,Paid Social,False,
CUS-00043,2024-05-16,Poland,45-54,High Value,Referral,True,2024-09-01
CUS-00044,2023-10-02,Poland,55+,High Value,Paid Search,True,2024-09-20
CUS-00045,2024-10-14,United Kingdom,55+,Active,Organic,False,
CUS-00046,2023-11-23,Germany,35-44,At Risk,Organic,True,2024-11-18
CUS-00047,2023-12-26,Spain,35-44,New,Email,False,
CUS-00048,2025-03-04,United Kingdom,18-24,At Risk,Organic,False,
CUS-00049,2024-09-26,Poland,35-44,At Risk,Paid Social,False,
CUS-00050,2025-06-26,Poland,25-34,At Risk,Paid Search,False,
