transaction_id,customer_id,campaign_id,transaction_date,gross_amount,discount_amount,status,net_amount
TRX-000001,CUS-00248,CMP-001,2026-03-26,54.62,5.46,Completed,49.16
TRX-000002,CUS-00544,CMP-001,2026-03-25,143.58,0.0,Completed,143.58
TRX-000003,CUS-00526,CMP-001,2026-03-26,56.96,5.7,Completed,51.26
TRX-000004,CUS-00230,CMP-001,2026-03-23,191.97,19.2,Completed,172.77
TRX-000005,CUS-00419,CMP-001,2026-03-25,156.0,0.0,Completed,156.0
TRX-000006,CUS-00874,CMP-001,2026-03-27,215.54,21.55,Completed,193.99
TRX-000007,CUS-00186,CMP-001,2026-03-23,98.76,9.88,Completed,88.88
TRX-000008,CUS-00591,CMP-001,2026-03-24,149.02,14.9,Completed,134.12
TRX-000009,CUS-00265,CMP-001,2026-03-22,64.67,6.47,Completed,58.2
TRX-000010,CUS-00202,CMP-001,2026-03-26,225.77,22.58,Completed,203.19
TRX-000011,CUS-00509,CMP-001,2026-03-21,76.75,0.0,Completed,76.75
TRX-000012,CUS-00889,CMP-001,2026-03-22,61.5,6.15,Completed,55.35
TRX-000013,CUS-00505,CMP-001,2026-03-26,83.06,8.31,Completed,74.75
TRX-000014,CUS-00902,CMP-002,2026-04-30,209.31,0.0,Completed,209.31
TRX-000015,CUS-00922,CMP-002,2026-05-07,62.22,0.0,Completed,62.22
TRX-000016,CUS-00759,CMP-002,2026-05-03,169.03,0.0,Refunded,-169.03
TRX-000017,CUS-00148,CMP-003,2026-05-17,196.7,0.0,Completed,196.7
TRX-000018,CUS-00484,CMP-003,2026-05-18,197.73,19.77,Refunded,-177.96
TRX-000019,CUS-00023,CMP-003,2026-05-19,79.91,0.0,Completed,79.91
TRX-000020,CUS-00189,CMP-003,2026-05-17,52.94,0.0,Completed,52.94
TRX-000021,CUS-00938,CMP-003,2026-05-21,134.25,0.0,Completed,134.25
TRX-000022,CUS-00801,CMP-003,2026-05-21,82.52,8.25,Completed,74.27
TRX-000023,CUS-00585,CMP-003,2026-05-15,186.85,18.68,Completed,168.17
TRX-000024,CUS-00745,CMP-003,2026-05-19,114.91,0.0,Completed,114.91
TRX-000025,CUS-00952,CMP-003,2026-05-16,134.36,13.44,Completed,120.92
TRX-000026,CUS-00232,CMP-003,2026-05-21,63.83,0.0,Completed,63.83
TRX-000027,CUS-00427,CMP-003,2026-05-16,159.19,0.0,Completed,159.19
TRX-000028,CUS-00529,CMP-003,2026-05-16,78.96,7.9,Refunded,-71.06
TRX-000029,CUS-00770,CMP-003,2026-05-19,182.59,0.0,Completed,182.59
TRX-000030,CUS-00094,CMP-004,2026-06-11,54.95,5.5,Completed,49.45
TRX-000031,CUS-00677,CMP-004,2026-06-06,244.94,24.49,Completed,220.45
TRX-000032,CUS-00548,CMP-004,2026-06-09,183.75,0.0,Completed,183.75
TRX-000033,CUS-00249,CMP-004,2026-06-07,78.16,0.0,Completed,78.16
TRX-000034,CUS-00193,CMP-004,2026-06-09,42.96,0.0,Completed,42.96
TRX-000035,CUS-00633,CMP-004,2026-06-09,110.24,0.0,Completed,110.24
TRX-000036,CUS-00283,CMP-004,2026-06-12,72.09,0.0,Completed,72.09
TRX-000037,CUS-00701,CMP-004,2026-06-12,85.87,8.59,Completed,77.28
TRX-000038,CUS-00632,CMP-004,2026-06-10,223.28,0.0,Completed,223.28
TRX-000039,CUS-00967,CMP-005,2026-06-19,166.67,0.0,Completed,166.67
TRX-000040,CUS-00106,CMP-005,2026-06-21,77.06,7.71,Completed,69.35
TRX-000041,CUS-00358,CMP-005,2026-06-15,156.9,15.69,Completed,141.21
TRX-000042,CUS-00544,CMP-005,2026-06-19,93.71,0.0,Completed,93.71
TRX-000043,CUS-00070,CMP-005,2026-06-20,245.0,24.5,Completed,220.5
TRX-000044,CUS-00173,CMP-005,2026-06-15,46.88,0.0,Completed,46.88
TRX-000045,CUS-00448,CMP-005,2026-06-21,193.79,0.0,Completed,193.79
TRX-000046,CUS-00807,CMP-005,2026-06-19,202.33,20.23,Refunded,-182.1
TRX-000047,CUS-00606,CMP-005,2026-06-16,54.1,0.0,Completed,54.1
TRX-000048,CUS-00874,CMP-005,2026-06-17,76.09,7.61,Completed,68.48
TRX-000049,CUS-00058,CMP-006,2026-07-18,120.7,0.0,Completed,120.7
TRX-000050,CUS-00599,CMP-006,2026-07-22,222.31,0.0,Completed,222.31
TRX-000051,CUS-00097,CMP-006,2026-07-22,152.77,0.0,Completed,152.77
TRX-000052,CUS-00946,CMP-006,2026-07-21,177.61,0.0,Completed,177.61
TRX-000053,CUS-00399,CMP-006,2026-07-20,204.43,0.0,Completed,204.43
TRX-000054,CUS-00929,CMP-006,2026-07-15,213.91,0.0,Completed,213.91
TRX-000055,CUS-00524,CMP-006,2026-07-22,140.02,0.0,Completed,140.02
